Nombre,Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Latitud,Longitud,Sup tamaño
Lago Argentino,Santa Cruz,1435,500,150,-50.248,-72.645,grande
Lago Viedma,Santa Cruz,1166,,,-49.624,-72.495,grande
Lago Nahuel Huapi,Río Negro / Neuquén,540,464,157,-40.854,-71.616,grande
Lago Musters,Chubut,427,39,20,-45.415,-69.198,grande
Lago Cardiel,Santa Cruz,358,,49,-48.917,-71.215,grande
Lago Epecuén,Buenos Aires,156,11,7,-37.129,-62.865,grande
Lago Pellegrini,Río Negro,116,,,-38.707,-67.973,grande
Lago Strobel,Santa Cruz,100,,,-48.433,-71.19,grande
Lago Fontana,Chubut,84,,79,-44.921,-71.496,grande
Lago Huechulafquen,Neuquén,84,,142,-39.774,-71.509,grande
Lago Traful,Neuquén,78,,,-40.631,-71.415,grande
Lago La Plata,Chubut,73,,,-44.859,-71.82,grande
Lago Ghío,Santa Cruz,65,,,-47.288,-71.53,grande
Lago Menéndez,Chubut,58,287,149,-42.691,-71.862,medio
Lago Aluminé,Neuquén,58,165,64,-38.922,-71.126,medio
Lago Lácar,Neuquén,53,277,166,-40.163,-71.436,medio
Lago Yehuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,,43,-54.412,-67.715,medio
Lago Quiroga,Santa Cruz,47,,,-48.417,-71.551,medio
Lago Puelo,Chubut,47,180,111,-42.151,-71.65,medio
Lago Nansen,Santa Cruz,42,,,-47.979,-72.353,medio
Lago Belgrano,Santa Cruz,42,,,-47.844,-72.143,medio
Lago Futalaufquen,Chubut,42,168,101,-42.828,-71.675,medio
Lago Posadas,Santa Cruz,41,,31,-47.494,-71.832,medio
Lago Espejo,Neuquén,40,,,-40.676,-71.711,medio
Lago Mascardi,Río Negro,39,218,111,-41.346,-71.548,medio
Lago Chepelmut,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,,,-54.395,-67.593,medio
Lago Salitroso o Sucio,Santa Cruz,37,,,-47.5,-71.613,medio
Lago Lolog,Neuquén,37,,,-40.036,-71.536,medio
Lago Tar,Santa Cruz,30,,,-49.228,-72.017,medio
Lago Tromen,Neuquén,29,,69,-39.526,-71.448,medio
Lago Blanco,Chubut,28,,,-45.888,-71.224,medio
Lago Quillén,Neuquén,26,,,-39.411,-71.314,medio
Lago Asador o Guitarra,Santa Cruz,23,,,-47.863,-71.47,medio
Lago Rivadavia,Chubut,23,147,104,-42.611,-71.666,medio
Lago Moquehue,Neuquén,21,,,-38.904,-71.274,medio
Lago Correntoso,Neuquén,20,,,-40.702,-71.66,medio
Lago Río Chico,Chubut,20,,,-45.594,-68.548,medio
Lago Quiroga Chico,Santa Cruz,20,,,-48.499,-71.585,medio
Lago Epuyén,Chubut,17,148,92,-42.188,-71.507,chico
Lago Gutiérrez,Río Negro,17,111,80,-41.208,-71.42,chico
Lago Cholila,Chubut,17,108,49,-42.459,-71.669,chico
Lago Paimún,Neuquén,16,,66,-39.724,-71.584,chico
Lago Azara,Santa Cruz,16,,,-47.846,-72.27,chico
Lago Burmeister,Santa Cruz,14,,,-47.956,-72.203,chico
Lago Onelli,Santa Cruz,14,,,-50.108,-73.35,chico
Lago Meliquina,Neuquén,14,,,-40.333,-71.319,chico
Lago Perito Moreno,Río Negro,12,,,-41.066,-71.541,chico
Lago Currhué,Neuquén,12,,,-39.84,-71.507,chico
Lago Falkner,Neuquén,11,,,-40.485,-71.476,chico
Lago Pico Nº 1,Chubut,10,,,-44.242,-71.502,chico
Lago Río Bueno,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,,,-54.689,-65.806,chico
Lago Rosario,Chubut,10,57,25,-43.26,-71.347,chico
