,Provincia,Partido,Localidad,Poblacion,ADSL,Cable-Modem,Dialup,Fibra Optica,Satelital,Wireless,Telefonia Fija,3G,4G
0,Buenos Aires,25 De Mayo,25 De Mayo,23408,Si,Si,No,Si,Si,Si,Si,Si,Si
1,Buenos Aires,25 De Mayo,Agustin Mosconi,280,No,No,No,No,No,No,Si,No,No
2,Buenos Aires,25 De Mayo,Del Valle,899,Si,No,No,No,Si,No,No,Si,Si
3,Buenos Aires,25 De Mayo,Ernestina,145,Si,No,No,No,No,No,No,No,No
4,Buenos Aires,25 De Mayo,Gobernador Ugarte,547,No,No,No,No,No,Si,No,No,No
5,Buenos Aires,25 De Mayo,Lucas Monteverde,63,No,No,No,No,No,Si,No,No,No
6,Buenos Aires,25 De Mayo,Norberto De La Riestra,4524,No,Si,No,No,No,Si,Si,Si,Si
7,Buenos Aires,25 De Mayo,Pedernales,1432,Si,No,No,No,No,No,No,No,Si
8,Buenos Aires,25 De Mayo,San Enrique,279,No,No,No,No,No,No,Si,No,No
9,Buenos Aires,25 De Mayo,Valdes,579,No,No,No,No,No,No,Si,No,Si
10,Buenos Aires,9 De Julio,12 De Octubre,219,No,No,No,No,No,Si,Si,No,No
11,Buenos Aires,9 De Julio,9 De Julio,36494,Si,Si,Si,Si,No,Si,Si,Si,Si
12,Buenos Aires,9 De Julio,Alfredo Demarchi (Est. Facundo Quiroga),1853,Si,No,No,No,No,No,Si,Si,Si
13,Buenos Aires,Carlos Tejedor,Curaru,422,No,No,No,No,No,No,Si,No,No
14,Buenos Aires,Carlos Tejedor,Timote,526,No,No,No,No,No,No,Si,No,No
15,Buenos Aires,Carlos Tejedor,Tres Algarrobos (Est. Cuenca),3201,No,No,No,No,Si,No,Si,Si,Si
16,Buenos Aires,Carmen De Areco,Carmen De Areco,12775,Si,Si,Si,Si,No,Si,Si,Si,Si
17,Buenos Aires,Carmen De Areco,Pueblo Gouin,122,No,No,No,No,No,Si,No,No,No
18,Buenos Aires,Carmen De Areco,Tres Sargentos,391,No,No,No,No,No,Si,Si,No,Si
19,Buenos Aires,Castelli,Castelli,6859,Si,Si,No,Si,Si,Si,Si,Si,Si
20,Buenos Aires,Castelli,Centro Guerrero,114,No,No,No,Si,No,Si,No,No,No
21,Buenos Aires,Castelli,Cerro De La Gloria,107,No,No,No,Si,No,No,No,Si,No
22,Buenos Aires,Chacabuco,Castilla,689,No,No,No,No,No,Si,Si,No,No
23,Buenos Aires,Chacabuco,Chacabuco,38418,Si,Si,Si,Si,No,Si,Si,Si,Si
24,Buenos Aires,Chacabuco,Los Angeles,54,No,No,No,No,No,No,No,Si,Si
25,Buenos Aires,Chacabuco,O'Higgins,1206,Si,No,No,Si,No,Si,Si,Si,Si
26,Buenos Aires,General Juan Madariaga,General Juan Madariaga,18089,Si,No,Si,Si,No,No,Si,Si,Si
27,Buenos Aires,General La Madrid,General La Madrid,8073,Si,No,Si,Si,No,Si,Si,Si,Si
28,Buenos Aires,General La Madrid,La Colina,663,No,No,No,No,No,No,Si,No,No
29,Buenos Aires,General La Madrid,Las Martinetas,215,No,No,No,No,No,No,Si,No,No
30,Buenos Aires,General La Madrid,Libano,292,No,No,No,No,No,No,Si,No,No
31,Buenos Aires,General La Madrid,Pontaut,68,No,No,No,No,No,No,No,Si,No
32,Buenos Aires,General Las Heras,General Hornos,194,No,No,No,No,No,No,No,No,Si
33,Buenos Aires,General Las Heras,General Las Heras (Est. Las Heras),11331,Si,Si,Si,No,No,Si,Si,Si,Si
34,Buenos Aires,General Las Heras,La Choza,41,No,No,No,No,No,No,No,No,No
35,Buenos Aires,General Las Heras,Lozano,0,No,No,No,No,Si,No,No,No,No
36,Buenos Aires,General Las Heras,Plomer,198,No,No,No,No,No,No,Si,No,No
37,Buenos Aires,General Las Heras,Villars,1147,No,Si,Si,Si,No,No,Si,No,No
38,Buenos Aires,General Lavalle,Chacras De San Clemente,0,No,No,No,No,No,Si,No,No,No
39,Buenos Aires,General Lavalle,General Lavalle,1827,No,Si,No,No,Si,Si,Si,Si,Si
40,Buenos Aires,General Lavalle,Pavon,942,No,No,No,Si,No,Si,No,Si,Si
41,Buenos Aires,La Plata,La Plata,207620,Si,Si,Si,Si,Si,Si,Si,Si,Si
42,Buenos Aires,La Plata,La Providencia,0,No,No,No,No,No,No,No,No,No
43,Buenos Aires,La Plata,Lisandro Olmos,0,No,Si,No,No,No,No,No,Si,Si
44,Buenos Aires,La Plata,Lomas De Copello,420,No,No,No,No,No,No,No,No,No
45,Buenos Aires,La Plata,Los Hornos,0,No,Si,No,Si,No,Si,No,Si,Si
46,Buenos Aires,La Plata,Manuel B Gonnet,0,No,Si,No,Si,No,No,No,Si,Si
47,Buenos Aires,La Plata,Poblet,0,No,No,No,No,No,No,No,No,No
48,Buenos Aires,La Plata,Ringuelet,0,No,Si,No,Si,No,No,No,Si,Si
49,Buenos Aires,La Plata,Rufino De Elizalde,0,No,No,No,No,No,No,No,Si,Si
50,Buenos Aires,La Plata,Ruta Del Sol,0,Si,No,No,No,No,No,No,Si,Si
51,Buenos Aires,La Plata,Ruta Del Sol,2312,Si,No,No,No,No,No,No,Si,Si
52,Buenos Aires,La Plata,Tolosa,0,No,Si,No,Si,No,No,No,Si,Si
53,Buenos Aires,La Plata,Transradio,0,No,No,No,No,Si,No,No,Si,Si
54,Buenos Aires,Necochea,Juan N. Fernandez,2721,Si,No,No,No,Si,Si,Si,Si,Si
55,Buenos Aires,Necochea,Necochea - Quequen,84784,Si,Si,Si,Si,Si,Si,Si,Si,Si
56,Buenos Aires,Necochea,Nicanor Olivera (Est. La Dulce),2131,Si,No,Si,No,No,Si,Si,Si,No
57,Buenos Aires,Necochea,Ramon Santamarina,430,No,No,No,No,No,No,Si,Si,Si
58,Buenos Aires,Olavarria,Blancagrande,65,No,No,No,No,No,No,No,No,No
59,Buenos Aires,Olavarria,Colonia Hinojo,3841,No,No,No,No,No,No,No,No,Si
60,Buenos Aires,Olavarria,Colonia Nievas,10,No,No,No,No,No,No,No,No,No
61,Buenos Aires,Olavarria,Colonia San Miguel,902,No,No,No,No,No,No,No,No,No
62,Buenos Aires,Olavarria,Espigas,492,No,No,No,No,No,No,Si,No,No
63,Buenos Aires,Olavarria,Hinojo,3841,Si,No,No,No,Si,Si,Si,Si,Si
64,Buenos Aires,Olavarria,Olavarria,89721,Si,Si,Si,Si,Si,No,Si,Si,Si
65,Buenos Aires,Olavarria,Recalde,385,No,No,No,No,No,No,Si,No,No
66,Buenos Aires,Olavarria,Santa Luisa,40,No,No,No,No,No,No,No,Si,No
67,Buenos Aires,Olavarria,Sierra Chica,4812,No,Si,No,No,No,Si,No,Si,Si
68,Buenos Aires,Olavarria,Sierras Bayas,3849,Si,No,Si,No,No,Si,Si,No,No
69,Buenos Aires,Vicente Lopez,Villa Martelli,25616,Si,Si,No,Si,No,Si,Si,Si,Si
70,Buenos Aires,Villa Gesell,Mar Azul,1797,No,No,No,No,No,No,Si,Si,Si
71,Buenos Aires,Villa Gesell,Mar De Las Pampas,0,No,No,No,No,No,No,No,Si,Si
72,Buenos Aires,Villa Gesell,Villa Gesell,29593,Si,No,No,Si,No,No,Si,Si,Si
73,Buenos Aires,Villarino,Argerich,80,No,No,No,No,No,Si,Si,No,No
74,Buenos Aires,Villarino,Colonia San Adolfo,109,No,No,No,No,No,No,No,No,No
75,Buenos Aires,Villarino,Country Los Medanos,61,No,No,No,No,No,Si,No,No,No
76,Buenos Aires,Villarino,Hilario Ascasubi,3427,No,No,No,No,No,No,Si,Si,Si
77,Buenos Aires,Villarino,Juan Couste (Est. Algarrobo),1993,No,No,Si,No,No,Si,Si,Si,Si
78,Buenos Aires,Villarino,Mayor Buratovich,5372,Si,No,No,Si,No,No,Si,Si,Si
79,Buenos Aires,Villarino,Medanos,5245,Si,Si,Si,Si,No,Si,Si,Si,Si
80,Caba,Comuna 01,Constitucion,44107,Si,Si,Si,Si,Si,Si,Si,Si,Si
81,Cordoba,San Justo,Freyre,6620,Si,Si,No,No,No,Si,Si,Si,Si
82,Cordoba,San Justo,La Francia,3720,Si,No,No,Si,No,Si,Si,Si,Si
83,Cordoba,San Justo,La Paquita,947,No,No,No,No,No,No,No,No,Si
84,Cordoba,San Justo,La Tordilla,1257,Si,No,No,No,No,Si,Si,Si,Si
85,Cordoba,San Justo,Las Varas,1320,No,No,No,Si,No,No,Si,Si,Si
86,Jujuy,Susques,Jama,67,No,No,No,Si,No,No,No,No,No
87,Caba,Comuna 09,Parque Avellaneda,53229,Si,Si,Si,Si,Si,Si,Si,Si,Si
88,Cordoba,San Justo,Las Varillas,16238,Si,Si,No,Si,Si,No,Si,Si,Si
89,Cordoba,San Justo,Marull,1791,No,No,No,Si,Si,Si,Si,Si,Si
90,Cordoba,San Justo,Miramar,2023,No,Si,No,No,No,Si,Si,Si,Si
91,Cordoba,San Justo,Morteros,16890,Si,No,No,Si,No,No,Si,Si,Si
92,Buenos Aires,9 De Julio,Carlos Maria Naon,497,No,No,Si,No,No,No,Si,Si,Si
93,Buenos Aires,9 De Julio,Dudignac,2670,No,No,Si,No,No,Si,Si,Si,Si
94,Buenos Aires,9 De Julio,La Aurora (Est. La Niña),531,No,No,No,No,No,No,No,No,Si
95,Buenos Aires,9 De Julio,Manuel B. Gonnet (Est. French),748,Si,No,No,Si,No,No,Si,Si,Si
96,Buenos Aires,9 De Julio,Marcelino Ugarte (Est. Dennehy),76,No,No,No,No,No,No,No,No,Si
97,Buenos Aires,9 De Julio,Morea,347,No,No,No,No,No,No,No,No,No
98,Buenos Aires,9 De Julio,Norumbega,57,No,No,No,No,No,No,No,No,No
99,Buenos Aires,9 De Julio,Patricios,745,Si,No,No,No,No,No,Si,Si,No
100,Buenos Aires,9 De Julio,Villa General Fournier (Est. 9 De Julio Sud),566,No,No,No,Si,No,Si,Si,Si,Si
101,Buenos Aires,Adolfo Alsina,Carhue,9660,Si,No,No,Si,No,Si,Si,Si,Si
102,Buenos Aires,Adolfo Alsina,Colonia San Miguel Arcangel,563,Si,No,No,No,No,No,Si,No,Si
103,Buenos Aires,Adolfo Alsina,Delfin Huergo,14,No,No,No,No,No,No,No,No,No
104,Buenos Aires,Adolfo Alsina,Espartillar,21,No,No,No,No,No,No,No,No,Si
105,Buenos Aires,Adolfo Alsina,Esteban Agustin Gascon,104,No,No,No,No,No,No,Si,No,No
106,Buenos Aires,Adolfo Alsina,La Pala,27,No,No,No,No,No,No,No,No,No
107,Buenos Aires,Adolfo Alsina,Maza,1748,No,No,No,Si,Si,Si,Si,Si,Si
108,Buenos Aires,Florencio Varela,El Tropezon,0,No,No,No,No,No,No,No,Si,Si
109,Buenos Aires,Florencio Varela,Estanislao Severo Zeballos,26005,Si,Si,Si,Si,No,No,Si,Si,Si
110,Buenos Aires,Florencio Varela,Florencio Varela,149676,Si,Si,Si,Si,Si,Si,Si,Si,Si
