,"Tipo (Grande, Mediano, Pequeño, Helipuerto)",Nombre,"Elevacion (bajo, medio, altos)",Provincia,Ciudad,Codigo local
0,Grande,Minister Pistarini,Bajo,Buenos Aires,Buenos Aires (Ezeiza),Eze
1,Grande,Jorge Newbery,Bajo,Buenos Aires (Autonomous City),Buenos Aires,Aer
2,Mediano,Malvinas Argentinas,Bajo,Tierra Del Fuego,Ushuaia,Usu
3,Mediano,El Calafate - Commander Armando Tola,Medio,Santa Cruz,El Calafate,Eca
4,Mediano,Cataratas Del Iguazu,Altos,Misiones,Puerto Iguazu,Igu
5,Mediano,El Plumerillo,Altos,Mendoza,Mendoza,Doz
6,Mediano,San Carlos De Bariloche,Altos,Rio Negro,San Carlos De Bariloche,Bar
7,Mediano,Martin Miguel De Guemes,Altos,Salta,Salta,Sal
8,Mediano,Ingeniero Ambrosio Taravella,Altos,Cordoba,Cordoba,Cba
10,Mediano,San Fernando,Bajo,Buenos Aires,San Fernando,Fdo
11,Mediano,Piloto Civil N. Fernandez,Bajo,Santa Cruz,Rio Gallegos,Gal
12,Mediano,Rosario Islas Malvinas,Bajo,Santa Fe,Rosario,Ros
13,Mediano,General E. Mosconi,Medio,Chubut,Comodoro Rivadavia,Crv
14,Mediano,Almirante Marco Andres Zar,Medio,Chubut,Rawson,Tre
15,Mediano,Capitan D Daniel Vazquez,Medio,Santa Cruz,San Julian,Sju
16,Mediano,Presidente Peron,Medio,Neuquen,Neuquen,Neu
17,Mediano,Sauce Viejo,Bajo,Santa Fe,Santa Fe,Svo
18,Mediano,Gobernador Ramon Trejo Noel,Bajo,Tierra Del Fuego,Rio Grande,Gra
19,Mediano,Comandante Espora,Medio,Buenos Aires,Bahia Blanca,Bca
20,Mediano,Astor Piazzola,Bajo,Buenos Aires,Mar Del Plata,Mdp
21,Mediano,Libertador Gral D Jose De San Martin,Medio,Misiones,Posadas,Pos
22,Mediano,Santa Rosa,Medio,La Pampa,Santa Rosa,Osa
23,Mediano,El Palomar,Bajo,Buenos Aires,El Palomar,Pal
24,Pequeño,Pergamino,Medio,Buenos Aires,Pergamino,Per
25,Mediano,El Tehuelche,Medio,Chubut,Puerto Madryn,Dry
26,Pequeño,Moron,Bajo,Buenos Aires,Moron,Mor
28,Pequeño,Zarate,Bajo,Buenos Aires,Zarate,Ate
29,Mediano,Coronel Felipe Varela,Altos,Catamarca,Catamarca,Cat
30,Mediano,Aviador C. Campos,Altos,Neuquen,Chapelco/San Martin De Los Andes,Chp
31,Mediano,Brigadier Antonio Parodi,Altos,Chubut,Esquel,Esq
32,Mediano,Puerto Deseado,Medio,Santa Cruz,Puerto Deseado,Ado
33,Mediano,Santa Cruz,Medio,Santa Cruz,Puerto Santa Cruz,Scz
34,Mediano,Resistencia,Medio,Chaco,Resistencia,Sis
35,Mediano,Teniente Benjamin Matienzo,Altos,Tucuman,San Miguel De Tucuman,Tuc
36,Mediano,Gobernador Horacio Guzman,Altos,Jujuy,San Salvador De Jujuy,Juj
37,Mediano,Santa Teresita,Bajo,Buenos Aires,Santa Teresita,Str
